epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,2273.98,0.11936,7.62658,0.21366,0.09982,0.87421,1,1,0.995,0.995,0.05357,0.05357,0.02822,0.00555,0.25366,8.41434,0.16281,0.25557,0.36691,0.000239766,0.000239766,0.000239766
104,2296.32,0.11879,7.55658,0.22376,0.1003,0.88098,0.99899,1,0.995,0.995,0.03571,0.03571,0.01821,0.00543,0.24162,8.43307,0.16496,0.31034,0.37093,0.000231071,0.000231071,0.000231071
105,2318.68,0.11551,7.6001,0.22075,0.09845,0.8862,0.99907,1,0.995,0.995,0.03571,0.03571,0.01792,0.00534,0.24216,8.38439,0.16269,0.26192,0.38593,0.000222497,0.000222497,0.000222497
106,2341.01,0.11012,7.56464,0.22265,0.09352,0.86975,0.99915,1,0.995,0.995,0.03596,0.03571,0.01821,0.0054,0.20997,8.41773,0.16155,0.28998,0.33585,0.000214046,0.000214046,0.000214046
107,2363.32,0.11552,7.58357,0.21623,0.09787,0.86456,1,1,0.995,0.99451,0.03571,0.03571,0.02147,0.00721,0.18597,8.3999,0.16507,0.22497,0.34265,0.000205723,0.000205723,0.000205723
108,2385.65,0.11198,7.55677,0.21925,0.09506,0.87645,1,1,0.995,0.995,0.03571,0.03571,0.01852,0.00552,0.17329,8.36147,0.16796,0.22383,0.31597,0.000197532,0.000197532,0.000197532
109,2408.02,0.11027,7.51565,0.22339,0.09508,0.87371,1,1,0.995,0.995,0.03571,0.03571,0.01852,0.00458,0.21429,8.34796,0.17161,0.2538,0.34652,0.000189475,0.000189475,0.000189475
110,2430.33,0.11059,7.53586,0.22173,0.09462,0.87953,0.99914,1,0.995,0.995,0.03616,0.03571,0.01824,0.00451,0.19814,8.36112,0.16488,0.23103,0.31694,0.000181557,0.000181557,0.000181557
111,2452.69,0.10854,7.48567,0.21496,0.09322,0.87254,0.9991,1,0.995,0.995,0.03609,0.03571,0.01821,0.00543,0.17915,8.31922,0.16496,0.21214,0.31119,0.00017378,0.00017378,0.00017378
112,2475.01,0.10695,7.52339,0.22055,0.09225,0.87682,0.99937,1,0.995,0.995,0.03623,0.03571,0.01821,0.0054,0.18332,8.39219,0.16439,0.20216,0.31187,0.000166149,0.000166149,0.000166149
113,2497.29,0.10566,7.47737,0.21723,0.09109,0.87525,1,1,0.995,0.995,0.03593,0.03571,0.01852,0.00458,0.15697,8.33109,0.16125,0.18969,0.29236,0.000158667,0.000158667,0.000158667
114,2519.69,0.10346,7.44021,0.21633,0.08942,0.86662,1,1,0.995,0.995,0.03632,0.03571,0.01854,0.00458,0.182,8.34272,0.16182,0.2081,0.30918,0.000151336,0.000151336,0.000151336
115,2542.04,0.10409,7.49402,0.22074,0.09062,0.86571,1,1,0.995,0.995,0.03633,0.03571,0.01854,0.00644,0.22881,8.36568,0.16325,0.22499,0.33196,0.000144161,0.000144161,0.000144161
116,2564.39,0.10298,7.46458,0.22452,0.09,0.86875,1,1,0.995,0.995,0.03631,0.03571,0.01854,0.00549,0.19593,8.3517,0.16478,0.20289,0.31682,0.000137143,0.000137143,0.000137143
117,2586.7,0.10568,7.43666,0.22239,0.09051,0.87185,1,1,0.995,0.995,0.03626,0.03571,0.01854,0.00367,0.17274,8.38802,0.16343,0.20037,0.30445,0.000130287,0.000130287,0.000130287
118,2609.02,0.10379,7.45474,0.21797,0.08974,0.87355,1,1,0.995,0.995,0.03601,0.03571,0.01854,0.00644,0.18979,8.39425,0.164,0.21892,0.30827,0.000123596,0.000123596,0.000123596
119,2631.32,0.10406,7.39733,0.21814,0.08933,0.87672,1,1,0.995,0.995,0.03596,0.03571,0.01852,0.00549,0.20707,8.36966,0.16977,0.21794,0.3182,0.000117072,0.000117072,0.000117072
120,2653.65,0.10505,7.40656,0.22038,0.08979,0.86317,1,1,0.995,0.995,0.03602,0.03571,0.01891,0.00562,0.21442,8.38559,0.16999,0.21739,0.32983,0.000110718,0.000110718,0.000110718
121,2676.03,0.10347,7.39179,0.21787,0.08872,0.8716,1,1,0.995,0.995,0.03599,0.03571,0.01859,0.0055,0.2239,8.33106,0.16788,0.22105,0.33458,0.000104537,0.000104537,0.000104537
122,2698.4,0.10081,7.3355,0.21499,0.08749,0.87402,1,1,0.995,0.995,0.03587,0.03571,0.01873,0.00564,0.23782,8.34332,0.16283,0.22441,0.35012,9.85311e-05,9.85311e-05,9.85311e-05
123,2720.76,0.10229,7.40901,0.21627,0.08754,0.86951,1,1,0.995,0.995,0.03612,0.03571,0.01867,0.00652,0.25725,8.3135,0.16514,0.22916,0.35435,9.2704e-05,9.2704e-05,9.2704e-05
124,2743.08,0.09914,7.44715,0.21722,0.08573,0.85725,1,1,0.995,0.995,0.03603,0.03571,0.01884,0.00659,0.20809,8.32177,0.16227,0.21409,0.33468,8.70577e-05,8.70577e-05,8.70577e-05
125,2765.39,0.10011,7.38584,0.21774,0.08736,0.87144,1,1,0.995,0.995,0.03605,0.03571,0.01877,0.0056,0.19944,8.27797,0.16115,0.21369,0.32846,8.15947e-05,8.15947e-05,8.15947e-05
