epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,1843.87,1.48843,0.69337,0.79994,0.9326,0.92441,0.96409,0.51418,1.48252,0.67249,0.82589,0.0003994,0.0003994,0.0003994
93,1863.84,1.47103,0.67324,0.80009,0.93933,0.90088,0.94972,0.49607,1.54474,0.67908,0.82814,0.0003928,0.0003928,0.0003928
94,1883.96,1.48878,0.6951,0.79773,0.94615,0.9088,0.96033,0.49813,1.51494,0.67791,0.82599,0.0003862,0.0003862,0.0003862
95,1903.82,1.4952,0.68473,0.80125,0.9466,0.91683,0.96553,0.51174,1.47779,0.67624,0.82588,0.0003796,0.0003796,0.0003796
96,1923.77,1.51215,0.69769,0.80112,0.9391,0.89725,0.95714,0.49136,1.55033,0.68091,0.82973,0.000373,0.000373,0.000373
97,1943.74,1.49582,0.6985,0.80017,0.91898,0.92457,0.9603,0.49651,1.52498,0.68417,0.8267,0.0003664,0.0003664,0.0003664
98,1963.65,1.45407,0.6736,0.7991,0.94042,0.91845,0.95776,0.48716,1.54703,0.68568,0.82828,0.0003598,0.0003598,0.0003598
99,1983.54,1.47637,0.68683,0.79696,0.91401,0.91632,0.94755,0.46146,1.66634,0.70324,0.83252,0.0003532,0.0003532,0.0003532
100,2003.48,1.48651,0.68385,0.80277,0.9303,0.92051,0.95919,0.50076,1.54024,0.6741,0.8279,0.0003466,0.0003466,0.0003466
101,2023.52,1.46681,0.68444,0.79888,0.94293,0.92672,0.96338,0.51368,1.4677,0.66838,0.82419,0.00034,0.00034,0.00034
102,2043.49,1.46262,0.67622,0.79907,0.93215,0.91379,0.95392,0.5038,1.4812,0.66908,0.82551,0.0003334,0.0003334,0.0003334
103,2063.41,1.47719,0.6877,0.79974,0.93103,0.9181,0.95826,0.50121,1.51064,0.67999,0.82519,0.0003268,0.0003268,0.0003268
104,2083.49,1.48009,0.68575,0.80172,0.93755,0.91379,0.96134,0.50584,1.51064,0.67754,0.82768,0.0003202,0.0003202,0.0003202
105,2103.43,1.46677,0.68021,0.79961,0.93583,0.93319,0.95897,0.51032,1.50374,0.67177,0.82491,0.0003136,0.0003136,0.0003136
106,2123.3,1.45204,0.66889,0.80126,0.92442,0.92672,0.96032,0.50258,1.51604,0.66708,0.8265,0.000307,0.000307,0.000307
107,2143.28,1.44359,0.66713,0.79977,0.92591,0.9181,0.95565,0.50146,1.5308,0.6884,0.82809,0.0003004,0.0003004,0.0003004
108,2163.29,1.44552,0.67229,0.79837,0.91975,0.91392,0.94974,0.50753,1.50519,0.67315,0.8256,0.0002938,0.0002938,0.0002938
109,2183.27,1.45374,0.66372,0.79797,0.9344,0.92457,0.96171,0.52007,1.45284,0.66955,0.82387,0.0002872,0.0002872,0.0002872
110,2203.3,1.45263,0.66613,0.79969,0.94236,0.91618,0.96786,0.51954,1.49839,0.66564,0.82482,0.0002806,0.0002806,0.0002806
111,2223.24,1.4377,0.66035,0.79708,0.92113,0.93534,0.96012,0.51048,1.46484,0.67651,0.8248,0.000274,0.000274,0.000274
112,2243.12,1.44391,0.66393,0.79669,0.92327,0.93351,0.96126,0.51149,1.45831,0.67038,0.82218,0.0002674,0.0002674,0.0002674
113,2263.05,1.45262,0.6622,0.79968,0.93514,0.9181,0.95509,0.5042,1.5237,0.67121,0.82661,0.0002608,0.0002608,0.0002608
114,2283,1.43576,0.65931,0.79869,0.94579,0.90246,0.96252,0.5123,1.51825,0.66274,0.82554,0.0002542,0.0002542,0.0002542
115,2302.97,1.44267,0.66133,0.79737,0.9281,0.91798,0.96363,0.50243,1.5572,0.67427,0.82758,0.0002476,0.0002476,0.0002476
116,2322.93,1.45088,0.66781,0.79836,0.93449,0.92241,0.95994,0.5195,1.46519,0.67532,0.82438,0.000241,0.000241,0.000241
117,2342.97,1.42379,0.65743,0.79829,0.91818,0.94321,0.96594,0.51153,1.47712,0.65291,0.82343,0.0002344,0.0002344,0.0002344
118,2362.97,1.43776,0.66213,0.80069,0.92935,0.93319,0.97022,0.51564,1.47771,0.66187,0.82413,0.0002278,0.0002278,0.0002278
119,2382.83,1.43449,0.65376,0.79868,0.93536,0.90435,0.94976,0.504,1.49061,0.67248,0.82442,0.0002212,0.0002212,0.0002212
120,2402.87,1.42738,0.65258,0.7988,0.92188,0.94181,0.96591,0.51695,1.47542,0.66004,0.8242,0.0002146,0.0002146,0.0002146
121,2422.82,1.42574,0.65291,0.79867,0.93386,0.93319,0.96878,0.51877,1.43431,0.65508,0.82156,0.000208,0.000208,0.000208
122,2442.78,1.38673,0.63636,0.79289,0.91941,0.93434,0.95764,0.517,1.45674,0.65667,0.8222,0.0002014,0.0002014,0.0002014
123,2462.86,1.44142,0.65313,0.79887,0.92522,0.92457,0.95861,0.51167,1.47463,0.67052,0.82378,0.0001948,0.0001948,0.0001948
124,2482.8,1.42046,0.65472,0.80071,0.92074,0.92241,0.96178,0.50732,1.51681,0.66212,0.82608,0.0001882,0.0001882,0.0001882
125,2502.81,1.42713,0.65177,0.79779,0.92409,0.93103,0.96495,0.50415,1.52065,0.6683,0.82529,0.0001816,0.0001816,0.0001816
126,2522.82,1.41602,0.64685,0.79508,0.94224,0.91414,0.96597,0.51685,1.48014,0.65284,0.8238,0.000175,0.000175,0.000175
127,2542.85,1.41087,0.65041,0.79479,0.9308,0.92762,0.96022,0.51638,1.4614,0.65447,0.82269,0.0001684,0.0001684,0.0001684
128,2562.78,1.39692,0.64958,0.79374,0.94797,0.91595,0.96495,0.51755,1.45928,0.65432,0.82306,0.0001618,0.0001618,0.0001618
129,2582.87,1.39351,0.63313,0.79581,0.95208,0.92457,0.96368,0.51782,1.49131,0.65749,0.82529,0.0001552,0.0001552,0.0001552
130,2602.92,1.39376,0.62681,0.79612,0.93813,0.9181,0.96315,0.51338,1.489,0.65931,0.82456,0.0001486,0.0001486,0.0001486
131,2623.03,1.38678,0.63153,0.79777,0.92207,0.93103,0.96395,0.52218,1.46242,0.65996,0.82359,0.000142,0.000142,0.000142
132,2643.55,1.39424,0.63911,0.79522,0.94222,0.93534,0.9662,0.51908,1.44829,0.65884,0.82253,0.0001354,0.0001354,0.0001354
133,2663.7,1.3874,0.63403,0.79546,0.93826,0.91164,0.95909,0.50663,1.50388,0.65872,0.82404,0.0001288,0.0001288,0.0001288
134,2683.73,1.37686,0.63238,0.79517,0.93648,0.9215,0.96286,0.51375,1.47358,0.65998,0.82324,0.0001222,0.0001222,0.0001222
135,2703.65,1.37911,0.62498,0.79501,0.9376,0.92457,0.96514,0.51743,1.47499,0.66131,0.82284,0.0001156,0.0001156,0.0001156
136,2723.59,1.38079,0.62428,0.79377,0.93668,0.92672,0.96202,0.51669,1.47222,0.66067,0.82243,0.000109,0.000109,0.000109
137,2743.61,1.36311,0.61599,0.7931,0.94092,0.92668,0.96207,0.51028,1.51367,0.65369,0.82471,0.0001024,0.0001024,0.0001024
138,2763.76,1.38601,0.62242,0.79575,0.94464,0.92672,0.96639,0.51171,1.48785,0.65733,0.8238,9.58e-05,9.58e-05,9.58e-05
139,2783.83,1.37488,0.62183,0.79794,0.92239,0.92212,0.96068,0.50736,1.52572,0.65843,0.82604,8.92e-05,8.92e-05,8.92e-05
140,2803.82,1.36384,0.62023,0.79629,0.94036,0.91379,0.96485,0.51176,1.48585,0.66033,0.82384,8.26e-05,8.26e-05,8.26e-05
141,2856.44,1.35548,0.62296,0.79864,0.9193,0.90835,0.95439,0.50623,1.51939,0.67695,0.82621,7.6e-05,7.6e-05,7.6e-05
142,2876.5,1.32739,0.62129,0.79598,0.93659,0.90517,0.95412,0.49185,1.54833,0.6853,0.8265,6.94e-05,6.94e-05,6.94e-05
143,2896.87,1.36048,0.62148,0.79872,0.92609,0.91821,0.95476,0.51104,1.50805,0.67323,0.82523,6.28e-05,6.28e-05,6.28e-05
144,2919.14,1.32761,0.61173,0.79654,0.92417,0.9181,0.95583,0.50467,1.51883,0.67589,0.82576,5.62e-05,5.62e-05,5.62e-05
145,2942.75,1.31227,0.61262,0.79463,0.92945,0.90862,0.95262,0.50009,1.53813,0.6738,0.82607,4.96e-05,4.96e-05,4.96e-05
146,2966.24,1.33727,0.62009,0.79676,0.93686,0.89537,0.95494,0.50847,1.51983,0.6691,0.82577,4.3e-05,4.3e-05,4.3e-05
147,2989.85,1.30934,0.60264,0.79748,0.92075,0.92647,0.95528,0.49683,1.53156,0.67582,0.82531,3.64e-05,3.64e-05,3.64e-05
148,3013.38,1.30599,0.61451,0.79586,0.91846,0.92245,0.95477,0.49885,1.54529,0.67762,0.82642,2.98e-05,2.98e-05,2.98e-05
149,3036.94,1.28416,0.59863,0.79318,0.91293,0.9265,0.95544,0.50329,1.53146,0.681,0.82641,2.32e-05,2.32e-05,2.32e-05
150,3060.51,1.29293,0.59451,0.79695,0.9222,0.91969,0.95781,0.50562,1.52338,0.67282,0.82576,1.66e-05,1.66e-05,1.66e-05
